llave_10,fraccion_8,nico,descripcion_completa,unidad_medida,arancel_importacion,nota_importacion,arancel_exportacion,nota_exportacion,regulaciones_economia
8528599900,85285999,00,Los demás.,Pza,10.0,,0.0,Ex.,NOM-019-SCFI-1998 Únicamente: Los utilizados exclusiva o principalmente con máquinas automáticas para tratamiento o procesamiento de datos. NOM-001-SCFI-2018 Únicamente: Los no destinados a utilizarse con máquinas automáticas para tratamiento o cesamiento de datos. -019-SCFI-1998 -208-SCFI-2016
8528620100,85286201,00,Aptos para ser conectados directamente y diseñados para ser utilizados con una máquina automática para tratamiento o procesamiento de datos de la partida 84.71.,Pza,0.0,Ex.,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
8528699901,85286999,01,"En colores, con pantalla plana.",Pza,0.0,Ex.,0.0,Ex.,"NOM-001-SCFI-2018 Excepto: En colores, incompletos o sin terminar (incluso los ensambles compuestos de las partes correspondientes entre las especificadas en los incisos a), b), c) y e) en la Nota aclaratoria 4 del capítulo 85 más una fuente de poder), que no incorporen tubos de rayos catódicos, pantalla plana o pantalla similar. NOM-032-ENER-2013 Excepto: Cuando requieran para su"
8528699902,85286999,02,"Por tubo de rayos catódicos, excepto los de alta definición.",Pza,0.0,Ex.,0.0,Ex.,"NOM-001-SCFI-2018 Excepto: En colores, incompletos o sin terminar (incluso los ensambles compuestos de las partes correspondientes entre las especificadas en los incisos a), b), c) y e) en la Nota aclaratoria 4 del capítulo 85 más una fuente de poder), que no incorporen tubos de rayos catódicos, pantalla plana o pantalla similar. NOM-032-ENER-2013 Excepto: Cuando requieran para su"
8528699999,85286999,99,Los demás.,Pza,0.0,Ex.,0.0,Ex.,"NOM-001-SCFI-2018 Excepto: En colores, incompletos o sin terminar (incluso los ensambles compuestos de las partes correspondientes entre las especificadas en los incisos a), b), c) y e) en la Nota aclaratoria 4 del capítulo 85 más una fuente de poder), que no incorporen tubos de rayos catódicos, pantalla plana o pantalla similar. NOM-032-ENER-2013 Excepto: Cuando requieran para su"
8528710100,85287101,00,Incompletos o sin terminar (incluso los ensambles compuestos de todas las partes especificadas en la Nota Nacional 13 del Capítulo 85 más una fuente de poder).,Pza,0.0,Ex.,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
8528710200,85287102,00,"Receptor de microondas o de señales de vía satélite, cuya frecuencia de operación sea hasta de 4.2 GHz y máximo 999 canales de televisión.",Pza,15.0,,0.0,Ex.,"funcionamiento una fuente de alimentación externa o, cuando por su naturaleza de operación no cuenten con la condición de funcionamiento en modo de espera. NOM-192-SCFI/SCT1-2013 Únicamente: Cuando tengan un sintonizador de televisión integrado. NOM-208-SCFI-2016 Únicamente: Los equipos de radiocomunicaciones por espectro disperso que opere en las bandas de frecuencias 902- 928 MHZ, 2400-2483.5 MHZ y 5725- 5850 MHZ (Bluetooth y/o ZigBee en las bandas 902 MHz 928 MHz y/o 2,400.00 MHz 2,483.50 MHz y/o WiFi y/o WLAN y/o WPAN y/o WAN en las bandas 2,400.00 MHz 2,483.50 MHz y/o 5,725.00 MHz 5,850.00 MHz). NOM-001-SCFI-2018 NOM-032-ENER-2013 Excepto: Cuando requieran para su"
8528710300,85287103,00,"Sistema de recepción de microondas vía satélite, compuesto de localizador electrónico de satélites, convertidor de bajada, receptor cuya onda de frecuencia de operación sea de 3.7 a 4.2 GHz, amplificador de bajo ruido (LNA), guías de onda, polarrotor y corneta alimentadora.",Pza,0.0,Ex.,0.0,Ex.,"funcionamiento una fuente de alimentación externa o, cuando por su naturaleza de operación no cuenten con la condición de funcionamiento en modo de espera. NOM-192-SCFI/SCT1-2013 Únicamente: Cuando tengan un sintonizador de televisión integrado. NOM-001-SCFI-2018 NOM-032-ENER-2013 Excepto: Cuando requieran para su funcionamiento una fuente de alimentación"
8528710400,85287104,00,"Sistema de recepción de microondas vía satélite, compuesto de un convertidor de bajada cuya frecuencia de operación sea de 11.7 a 14.5 GHz, y un receptor cuya frecuencia de operación sea de hasta 4.2 GHz.",Pza,0.0,Ex.,0.0,Ex.,"externa o, cuando por su naturaleza de operación no cuenten con la condición de funcionamiento en modo de espera. NOM-192-SCFI/SCT1-2013 Únicamente: Cuando tengan un sintonizador de televisión integrado. NOM-208-SCFI-2016 Únicamente: Los equipos de radiocomunicaciones por espectro disperso que opere en las bandas de frecuencias 902- 928 MHZ, 2400-2483.5 MHZ y 5725- 5850 MHZ (Bluetooth y/o ZigBee en las bandas 902 MHz 928 MHz y/o 2,400.00 MHz 2,483.50 MHz y/o WiFi y/o WLAN y/o WPAN y/o WAN en las bandas 2,400.00 MHz 2,483.50 MHz y/o 5,725.00 MHz 5,850.00 MHz). NOM-001-SCFI-2018"
8528719900,85287199,00,Los demás.,Pza,10.0,,0.0,Ex.,"NOM-032-ENER-2013 Excepto: Cuando requieran para su funcionamiento una fuente de alimentación externa o, cuando por su naturaleza de operación no cuenten con la condición de funcionamiento en modo de espera. NOM-192-SCFI/SCT1-2013 Únicamente: Dispositivos que permitan captar y procesar las señales de Televisión Digital Terrestre y que cuenten con la capacidad para convertir dicha información en una señal analógica. NOM-196-SCFI-2016 Únicamente: Cuando se conecten a través de un acceso alámbrico a una red pública. NOM-208-SCFI-2016 Únicamente: Los equipos de radiocomunicaciones por espectro disperso que opere en las bandas de frecuencias 902- 928 MHZ, 2400-2483.5 MHZ y 5725- 5850 MHZ (Bluetooth y/o ZigBee en las bandas 902 MHz 928 MHz y/o 2,400.00 MHz 2,483.50 MHz y/o WiFi y/o WLAN y/o WPAN y/o WAN en las bandas 2,400.00 MHz 2,483.50 MHz y/o 5,725.00 MHz 5,850.00 MHz). NOM-001-SCFI-2018 Únicamente: Equipos electrónicos de uso doméstico. NOM-192-SCFI/SCT1-2013"
8528720100,85287201,00,"Con pantalla inferior o igual a 35.56 cm (14 pulgadas), excepto los de alta definición, los tipo proyección y los comprendidos en la fracción arancelaria 8528.72.06.",Pza,15.0,,0.0,Ex.,"NOM-208-SCFI-2016 que opere en las bandas de frecuencias 902- 928 MHZ, 2400-2483.5 MHZ y 5725-5850 MHZ (Bluetooth y/o ZigBee en las bandas 902 MHz 928 MHz y/o 2,400.00 MHz 2,483.50 MHz y/o WiFi y/o WLAN y/o WPAN y/o WAN en las 5,725.00 MHz 5,850.00 MHz). NOM-001-SCFI-2018 NOM-192-SCFI/SCT1-2013"
8528720200,85287202,00,"Con pantalla superior a 35.56 cm (14 pulgadas), excepto los de alta definición, los tipo proyección y los comprendidos en la fracción arancelaria 8528.72.06.",Pza,15.0,,0.0,Ex.,"NOM-208-SCFI-2016 que opere en las bandas de frecuencias 902- 928 MHZ, 2400-2483.5 MHZ y 5725-5850 MHZ (Bluetooth y/o ZigBee en las bandas 902 MHz 928 MHz y/o 2,400.00 MHz 2,483.50 MHz y/o WiFi y/o WLAN y/o WPAN y/o WAN en las 5,725.00 MHz 5,850.00 MHz). NOM-001-SCFI-2018"
8528720300,85287203,00,"De tipo proyección por tubos de rayos catódicos, excepto los de alta definición.",Pza,15.0,,0.0,Ex.,NOM-192-SCFI/SCT1-2013 NOM-001-SCFI-2018
8528720400,85287204,00,"De alta definición por tubo de rayo catódico, excepto los tipo proyección.",Pza,0.0,Ex.,0.0,Ex.,NOM-192-SCFI/SCT1-2013 NOM-001-SCFI-2018
